PID    | Hora Atual
332596 | 19:44:56.081
221803 | 19:44:56.081
804399 | 19:44:56.081
831962 | 19:44:56.082
136733 | 19:44:56.082
843494 | 19:44:56.082
769932 | 19:44:56.082
085037 | 19:44:56.083
482721 | 19:44:56.083
955261 | 19:44:56.083
476219 | 19:44:56.083
404753 | 19:44:56.084
235944 | 19:44:56.084
952882 | 19:44:56.084
598654 | 19:44:56.084
588041 | 19:44:56.085
474379 | 19:44:56.085
805415 | 19:44:56.085
215817 | 19:44:56.085
953426 | 19:44:56.086
268303 | 19:44:56.086
667416 | 19:44:56.086
994075 | 19:44:56.086
685803 | 19:44:56.086
236275 | 19:44:56.087
579896 | 19:44:56.087
023192 | 19:44:56.087
708920 | 19:44:56.087
176375 | 19:44:56.088
